Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
KM873455,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0231 glycoprotein gene, partial cds"
KM873456,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TRi-13-0040 glycoprotein gene, partial cds"
KM873457,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TRi-13-0041 glycoprotein gene, partial cds"
KM873458,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TRi-13-0045 glycoprotein gene, partial cds"
KM873459,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TRi-13-0047 glycoprotein gene, partial cds"
KM873460,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-12-0058 glycoprotein gene, partial cds"
KM873461,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-12-0073 glycoprotein gene, partial cds"
KM873462,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0006 glycoprotein gene, partial cds"
KM873463,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0012 glycoprotein gene, partial cds"
KM873464,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0013 glycoprotein gene, partial cds"
KM873465,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0023 glycoprotein gene, partial cds"
KM873466,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0041 glycoprotein gene, partial cds"
KM873467,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0045 glycoprotein gene, partial cds"
KM873468,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0051 glycoprotein gene, partial cds"
KM873469,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0054 glycoprotein gene, partial cds"
KM873470,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0061 glycoprotein gene, partial cds"
KM873471,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0079 glycoprotein gene, partial cds"
KM873472,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0088 glycoprotein gene, partial cds"
KM873473,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0101 glycoprotein gene, partial cds"
KM873474,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0108 glycoprotein gene, partial cds"
KM873475,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0126 glycoprotein gene, partial cds"
KM873476,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0130 glycoprotein gene, partial cds"
KM873477,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0134 glycoprotein gene, partial cds"
KM873478,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0137 glycoprotein gene, partial cds"
KM873479,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0179 glycoprotein gene, partial cds"
KM873480,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0196 glycoprotein gene, partial cds"
KM873481,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0231 glycoprotein gene, partial cds"
KM873482,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0233 glycoprotein gene, partial cds"
KM873483,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0245 glycoprotein gene, partial cds"
KM873484,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TBp-13-0246 glycoprotein gene, partial cds"
KM873485,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TEv-13-0058 glycoprotein gene, partial cds"
KM873486,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TEv-13-0101 glycoprotein gene, partial cds"
KM873487,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TEv-13-0221 glycoprotein gene, partial cds"
KM873488,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TEv-13-0259 glycoprotein gene, partial cds"
KM873489,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-12-0152 glycoprotein gene, partial cds"
KM873490,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-12-0185 glycoprotein gene, partial cds"
KM873491,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0051 glycoprotein gene, partial cds"
KM873492,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0053 glycoprotein gene, partial cds"
KM873493,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0058 glycoprotein gene, partial cds"
KM873494,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0080 glycoprotein gene, partial cds"
KM873495,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0083 glycoprotein gene, partial cds"
KM873496,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0126 glycoprotein gene, partial cds"
KM873497,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0128 glycoprotein gene, partial cds"
KM873498,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0149 glycoprotein gene, partial cds"
KM873499,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0172 glycoprotein gene, partial cds"
KM873500,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0173 glycoprotein gene, partial cds"
KM873501,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0176 glycoprotein gene, partial cds"
KM873502,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0194 glycoprotein gene, partial cds"
KM873503,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TOp-13-0219 glycoprotein gene, partial cds"
KM873504,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-12-0013 glycoprotein gene, partial cds"
KM873505,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-12-0014 glycoprotein gene, partial cds"
KM873506,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-12-0015 glycoprotein gene, partial cds"
KM873507,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-12-0017 glycoprotein gene, partial cds"
KM873508,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-13-0004 glycoprotein gene, partial cds"
KM873509,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-13-0032 glycoprotein gene, partial cds"
KM873510,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B isolate TRi-13-0037 glycoprotein gene, partial cds"
KF744397,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 01-St-206 polyprotein gene, complete cds"
KF744398,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 05-Sa-018 polyprotein gene, complete cds"
KF744399,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 98-CI-15 polyprotein gene, complete cds"
KF744400,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 00-St-002 polyprotein gene, complete cds"
KF744401,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 00-St-022 polyprotein gene, complete cds"
KF744402,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 00-St-68B polyprotein gene, complete cds"
KF744403,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 95-SLMC-125 polyprotein gene, complete cds"
KF744404,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 96-BRL-12 polyprotein gene, complete cds"
KF744405,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 96-SLMC-179 polyprotein gene, complete cds"
KF744406,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 95-SLMC-148 polyprotein gene, complete cds"
KF744407,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 96-CSMC-007 polyprotein gene, complete cds"
KF744408,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate 05-RBD-204 polyprotein gene, complete cds"
AB992413,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),543,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: ILI-13-Ph137"
AB992414,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph031"
AB992415,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph034"
AB992416,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph095"
AB992417,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph096"
AB992418,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph106"
AB992419,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph128"
AB992420,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph139"
AB992421,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph148"
AB992422,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-13-Ph154"
AB992423,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: ILI-14-Ph023"
AB992424,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),543,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTa-13-Ph096"
AB992425,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),543,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTa-13-Ph137"
AB992426,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),543,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTa-13-Ph162"
AB992427,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),543,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph086"
AB992428,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),543,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TBp-13-Ph209"
AB992429,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TEv-13-Ph397"
AB992430,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TBp-13-Ph417"
AB992431,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TBp-13-Ph440"
AB992432,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph364"
AB992433,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph396"
AB992434,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph397"
AB992435,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph415"
AB992436,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph416"
AB992437,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-14-Ph021"
AB992438,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-14-Ph026"
AB992439,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TTS-14-Ph028"
AB992440,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-14-Ph009"
AB992441,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TOp-13-Ph418"
AB992442,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TEv-14-Ph032"
AB992443,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),546,GenBank,,,Homo sapiens,oronasopharynx,,"Enterovirus D68 VP1 gene, partial cds, isolate: TEv-14-Ph043"
LC000533,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,3148,GenBank,,,Homo sapiens,feces,,"Human rotavirus A VP1 gene for structural protein VP1, partial cds, strain: TGE13-77"
LC000534,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,2490,GenBank,,,Homo sapiens,feces,,"Human rotavirus A VP2 gene for structural protein VP2, partial cds, strain: TGE13-77"
LC000535,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,2522,GenBank,,,Homo sapiens,feces,,"Human rotavirus A VP3 gene for structural protein VP3, complete cds, strain: TGE13-77"
LC000536,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,2303,GenBank,,,Homo sapiens,feces,,"Human rotavirus A VP4 gene for structural protein VP4, partial cds, strain: TGE13-77"
LC000537,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,1223,GenBank,,,Homo sapiens,feces,,"Human rotavirus A VP6 gene for structural protein VP6, partial cds, strain: TGE13-77"
LC000538,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,896,GenBank,,,Homo sapiens,feces,,"Human rotavirus A VP7 gene for structural protein VP7, partial cds, strain: TGE13-77"
LC000539,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,1507,GenBank,,,Homo sapiens,feces,,"Human rotavirus A NSP1 gene for non structural protein NSP1, complete cds, strain: TGE13-77"
LC000540,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,961,GenBank,,,Homo sapiens,feces,,"Human rotavirus A NSP2 gene for non structural protein NSP2, partial cds, strain: TGE13-77"
LC000541,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,948,GenBank,,,Homo sapiens,feces,,"Human rotavirus A NSP3 gene for non structural protein NSP3, partial cds, strain: TGE13-77"
LC000542,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,750,GenBank,,,Homo sapiens,feces,,"Human rotavirus A NSP4 gene for non structural protein NSP4, complete cds, strain: TGE13-77"
LC000543,,Rotavirus A,Rotavirus,Reoviridae,dsRNA,664,GenBank,,,Homo sapiens,feces,,"Human rotavirus A NSP5 gene for non structural protein NSP5, complete cds, strain: TGE13-77"
KM066693,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),453,GenBank,,,Homo sapiens,,,"Measles virus genotype D9 strain MVs/Zamboanga-del-Sur/PHL/45.07/007[D9] nucleocapsid (N) gene, partial cds"
KM066694,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),255,GenBank,,,Homo sapiens,,,"Measles virus genotype D9 strain MVs/Maguindanao/PHL/45.08/896[D9] nucleocapsid (N) gene, partial cds"
KM066695,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),255,GenBank,,,Homo sapiens,,,"Measles virus genotype D9 strain MVs/Negros-Occidental/PHL/50.08/976[D9] nucleocapsid (N) gene, partial cds"
